Miles,Used,Certified,New,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Luxury,Base,Premium,Price
78891,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,32820
119030,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24297
107622,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27331
114195,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,28197
43180,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36990
75714,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29988
61171,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31990
63773,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,39998
74959,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31988
113702,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,26999
88110,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,29905
95667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,30684
85873,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36000
85474,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31671
44205,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,38880
73021,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31499
58593,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33943
68328,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,33995
44764,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34089
50286,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30900
88419,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30990
41630,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34306
88104,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30700
96753,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,28955
81479,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30950
61734,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,35000
42148,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,38700
47700,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30795
72555,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34000
47801,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,40988
62510,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33994
89939,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27785
61455,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31920
79138,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33493
100961,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,28527
91583,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34988
70062,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32288
79616,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30490
65960,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33998
70499,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34500
94999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32997
125652,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25995
58626,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30700
116096,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27988
66436,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33998
106680,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31991
107039,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26897
77976,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30995
75376,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34998
74553,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33999
53166,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,35471
96531,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26516
65661,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34986
93274,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30798
77723,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,29900
55898,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29900
58822,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32900
111071,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,28999
76681,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30885
56417,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33738
62537,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34998
56718,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,36595
76359,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,33899
56412,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32995
56450,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31500
47660,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33055
94549,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30287
83531,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,38775
51359,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32995
78119,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34499
59154,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,35680
77861,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32995
57957,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31549
